id,source_en,target_ar,domain,status,last_edited,translator,notes
001,Force Majeure,القوة القاهرة,Contract,approved,2023-11-02,A. Mahmoud,
002,Indemnification,تعويض,Contract,pending,2023-12-14,N. Fathi,encoding broken here
003,Indemnify and hold harmless,يعوّض ويبرئ الذمة,Contract,approved,2024-01-09,N. Fathi,
004,Governing Law,القانون الواجب التطبيق,Litigation,approved,2024-02-20,S. Wael,nbsp inside
006,Jurisdiction,الاختصاص القضائي,Litigation,approved,2024-03-01,S.Wael,
007,Arbitration Clause,شرط التحكيم,ADR,approved,2024-03-04,Omar H.,date format off
009,Breach of Contract,اخلال بالعقد,Contract,approved,2024-03-15,A. Mahmoud,mojibake again
012,Liquidated Damages,التعويضات المُقَدَّرة,Contract,review,2024-04-02,N. Fathi,trailing space
013,Termination for Convenience,الإنهاء لدواعي المصلحة,Contract,approved,2024-04-10,S. Wael,
014,Termination for Cause,الإنهاء لسبب,Contract,approved,2024-04-10,S. Wael,
016,Confidentiality Undertaking,تعهّد بالسرية,NDA,approved,2024-05-02,Omar H.,
017,Non-Disclosure Agreement,اتفاقية عدم الإفصاح,NDA,approved,2024-05-02,Omar H.,
017,NDA,اتفاقية عدم افشاء,nda,approved,2024-05-02,omar h,abbrev + variant
018,Representations and Warranties,الإقرارات و الضمانات,Contract,approved,2024-05-20,A. Mahmoud,
020,Severability,قابلية الفصل,Contract,approved,2024-06-01,N. Fathi,
021,Severability Clause,شرط قابلية الفصل,Contract,approved,2024-06-01,N. Fathi,
022,Entire Agreement,كامل الاتفاق,Contract,approved,2024-06-15,S. Wael,
023,Entire Agreement Clause,بند الاتفاق الكامل,Contract,draft,,S. Wael,empty date
024,Waiver,التنازل,Contract,approved,2024-07-01,Omar H.,
025,Waiver of Rights,التنازل عن الحقوق,Contract,approved,2024-07-01,Omar H.,
026,Assignment,الحوالة,Contract,approved,2024-07-12,A. Mahmoud,
027,Assignment and Novation,الحوالة و التجديد,Contract,approved,2024-07-12,A. Mahmoud,
028,Novation,التجديد (تجديد الالتزام),Contract,approved,2024-07-12,A. Mahmoud,paren note in target
029,Consideration,المقابل,Contract,approved,2024-08-01,N. Fathi,
031,Due Diligence,العناية الواجبة,M&A,approved,2024-08-15,S. Wael,
033,Escrow,الضمان المُودَع,M&A,approved,2024-09-01,Omar H.,
034,Escrow Account,حساب الضمان,M&A,approved,2024-09-01,Omar H.,
035,Warranty Disclaimer,إخلاء المسؤولية عن الضمان,Product,approved,2024-09-20,A. Mahmoud,
036,Limitation of Liability,تحديد المسؤولية,Product,approved,2024-09-20,A. Mahmoud,
038,Intellectual Property Rights,حقوق الملكية الفكرية,IP,approved,2024-10-05,N. Fathi,
039,IP Rights,حقوق الملكيه الفكريه,ip,approved,2024-10-05,n fathi,ta marbuta variant
040,Trademark,العلامة التجارية,IP,approved,2024-10-18,S. Wael,
041,Trade Mark,العلامه التجاريه,IP,approved,2024-10-18,S. Wael,spacing variant EN
042,Copyright,حق المؤلف,IP,approved,2024-11-01,Omar H.,
044,Patent,براءة الاختراع,IP,approved,2024-11-15,A. Mahmoud,
045,Patent Application,طلب براءة اختراع,IP,pending,2024-11-15,A. Mahmoud,
046,Injunction,أمر قضائي,Litigation,approved,2024-12-01,N. Fathi,
047,Injunctive Relief,الانتصاف بالأمر القضائي,Litigation,approved,2024-12-01,N. Fathi,
048,Damages,التعويضات,Litigation,approved,2024-12-10,S. Wael,
049,Punitive Damages,التعويضات العقابية,Litigation,approved,2024-12-10,S. Wael,
